codigo_alimento;nome_alimento_pt_br;categoria_pt_br;marca;calorias_kcal_100;proteinas_g_100;carboidratos_g_100;gorduras_g_100;fibras_g_100;quantidade_base;unidade_base;peso_medio_unidade_g;peso_porcao_g;idioma_nome;ativo;fonte
BR0001;Arroz branco tipo 1 cozido;Cereais e derivados;;128.3;2.5;28.1;0.2;1.6;100;g;;100;pt-BR;S;TACO 4ª ed. NEPA/UNICAMP
BR0002;Arroz integral cozido;Cereais e derivados;;123.5;2.6;25.8;1.0;2.7;100;g;;100;pt-BR;S;TACO 4ª ed. NEPA/UNICAMP
BR0003;Macarrão de trigo cozido;Cereais e derivados;;157.0;5.8;30.9;0.9;1.8;100;g;;140;pt-BR;S;TACO/valor médio
BR0004;Pão francês;Cereais e derivados;;300.0;8.0;58.6;3.1;2.3;100;g;50;50;pt-BR;S;TACO/valor médio
BR0005;Pão de forma tradicional;Cereais e derivados;;253.0;9.4;49.9;3.7;3.4;100;g;25;50;pt-BR;S;TACO/valor médio
BR0006;Pão de forma integral;Cereais e derivados;;253.0;9.4;44.1;3.7;6.9;100;g;25;50;pt-BR;S;TACO/valor médio
BR0007;Tapioca pronta sem recheio;Cereais e derivados;;240.0;0.2;58.0;0.1;0.2;100;g;;70;pt-BR;S;Valor médio de preparação
BR0008;Cuscuz de milho cozido;Cereais e derivados;;113.0;2.2;25.3;0.7;2.1;100;g;;100;pt-BR;S;TACO/valor médio
BR0009;Aveia em flocos crua;Cereais e derivados;;393.8;13.9;66.6;8.5;9.1;100;g;;30;pt-BR;S;TACO 4ª ed. NEPA/UNICAMP
BR0010;Granola tradicional;Cereais e derivados;;421.0;10.0;64.0;15.0;7.0;100;g;;30;pt-BR;S;"Valor médio; conferir rótulo"
BR0011;Farofa pronta temperada;Cereais e derivados;;406.0;2.1;80.3;9.1;7.8;100;g;;30;pt-BR;S;TACO/valor médio
BR0012;Batata inglesa cozida;Tubérculos e derivados;;52.0;1.2;11.9;0.0;1.3;100;g;130;100;pt-BR;S;TACO/valor médio
BR0013;Batata-doce cozida;Tubérculos e derivados;;77.0;0.6;18.4;0.1;2.2;100;g;130;100;pt-BR;S;TACO/valor médio
BR0014;Mandioca cozida;Tubérculos e derivados;;125.0;0.6;30.1;0.3;1.6;100;g;;100;pt-BR;S;TACO/valor médio
BR0015;Polenta cozida;Cereais e derivados;;103.0;2.3;23.3;0.3;2.4;100;g;;100;pt-BR;S;TACO/valor médio
BR0016;Pão de queijo assado;Cereais e derivados;;363.0;5.1;34.2;24.6;0.6;100;g;25;50;pt-BR;S;TACO/valor médio
BR0017;Biscoito maisena;Cereais e derivados;;442.8;8.1;75.2;12.0;2.1;100;g;6;30;pt-BR;S;TACO 4ª ed. NEPA/UNICAMP
BR0018;Biscoito cream cracker;Cereais e derivados;;431.7;10.1;68.7;14.4;2.5;100;g;7;30;pt-BR;S;TACO 4ª ed. NEPA/UNICAMP
BR0019;Bolo de chocolate pronto;Cereais e derivados;;410.0;6.2;54.7;18.5;1.4;100;g;;60;pt-BR;S;TACO 4ª ed. NEPA/UNICAMP
BR0020;Milho verde cozido;Cereais e derivados;;98.0;3.2;22.1;2.4;3.9;100;g;100;100;pt-BR;S;TACO/valor médio
BR0021;Feijão carioca cozido;Leguminosas e derivados;;76.4;4.8;13.6;0.5;8.5;100;g;;100;pt-BR;S;TACO 4ª ed. NEPA/UNICAMP
BR0022;Feijão preto cozido;Leguminosas e derivados;;77.0;4.5;14.0;0.5;8.4;100;g;;100;pt-BR;S;TACO/valor médio
BR0023;Feijão fradinho cozido;Leguminosas e derivados;;78.0;5.1;13.5;0.6;7.5;100;g;;100;pt-BR;S;TACO 4ª ed. NEPA/UNICAMP
BR0024;Lentilha cozida;Leguminosas e derivados;;93.0;6.3;16.3;0.5;7.9;100;g;;100;pt-BR;S;TACO/valor médio
BR0025;Grão-de-bico cozido;Leguminosas e derivados;;164.0;8.9;27.4;2.6;7.6;100;g;;100;pt-BR;S;Valor médio USDA/TACO
BR0026;Ervilha enlatada drenada;Leguminosas e derivados;;73.8;4.6;13.4;0.4;5.1;100;g;;100;pt-BR;S;TACO 4ª ed. NEPA/UNICAMP
BR0027;Soja cozida;Leguminosas e derivados;;151.0;12.5;11.9;6.8;5.2;100;g;;100;pt-BR;S;Valor médio
BR0028;Amendoim torrado sem sal;Leguminosas e derivados;;606.0;22.5;18.7;54.0;7.8;100;g;1;30;pt-BR;S;TACO/valor médio
BR0029;Hummus;Leguminosas e derivados;;166.0;7.9;14.3;9.6;6.0;100;g;;30;pt-BR;S;Valor médio de preparação
BR0030;Feijoada pronta;Preparações brasileiras;;117.0;8.7;11.6;4.8;5.1;100;g;;250;pt-BR;S;Valor médio de preparação
BR0031;Peito de frango grelhado sem pele;Carnes e derivados;;159.0;32.0;0.0;2.5;0.0;100;g;;100;pt-BR;S;TACO/valor médio
BR0032;Peito de frango cozido sem pele;Carnes e derivados;;163.0;31.0;0.0;3.6;0.0;100;g;;100;pt-BR;S;Valor médio
BR0033;Coxa de frango assada sem pele;Carnes e derivados;;215.0;28.5;0.0;10.9;0.0;100;g;90;100;pt-BR;S;TACO/valor médio
BR0034;Sobrecoxa de frango assada sem pele;Carnes e derivados;;233.0;28.0;0.0;13.0;0.0;100;g;100;100;pt-BR;S;Valor médio
BR0035;Frango inteiro assado sem pele;Carnes e derivados;;187.3;28.0;0.0;7.5;0.0;100;g;;100;pt-BR;S;TACO 4ª ed. NEPA/UNICAMP
BR0036;Filé de frango à milanesa;Carnes e derivados;;220.9;28.5;7.5;7.8;1.1;100;g;;100;pt-BR;S;TACO 4ª ed. NEPA/UNICAMP
BR0037;Patinho bovino grelhado;Carnes e derivados;;219.0;35.9;0.0;7.3;0.0;100;g;;100;pt-BR;S;TACO/valor médio
BR0038;Carne moída bovina cozida;Carnes e derivados;;212.0;26.7;0.0;11.5;0.0;100;g;;100;pt-BR;S;Valor médio
BR0039;Acém bovino cozido;Carnes e derivados;;215.0;27.3;0.0;10.9;0.0;100;g;;100;pt-BR;S;TACO/valor médio
BR0040;Coxão mole bovino cozido;Carnes e derivados;;219.0;32.4;0.0;9.0;0.0;100;g;;100;pt-BR;S;TACO/valor médio
BR0041;Fígado bovino grelhado;Carnes e derivados;;225.0;29.9;0.0;9.0;0.0;100;g;;100;pt-BR;S;Valor médio
BR0042;Lombo suíno assado;Carnes e derivados;;210.0;35.7;0.0;6.4;0.0;100;g;;100;pt-BR;S;Valor médio
BR0043;Bisteca suína grelhada;Carnes e derivados;;276.0;29.0;0.0;17.0;0.0;100;g;;100;pt-BR;S;Valor médio
BR0044;Linguiça calabresa cozida;Carnes e derivados;;300.0;16.0;2.0;25.0;0.0;100;g;80;80;pt-BR;S;"Valor médio; conferir rótulo"
BR0045;Presunto cozido;Carnes e derivados;;129.0;13.5;2.9;6.7;0.0;100;g;15;30;pt-BR;S;TACO/valor médio
BR0046;Peito de peru fatiado;Carnes e derivados;;104.0;17.5;3.0;2.0;0.0;100;g;15;30;pt-BR;S;"Valor médio; conferir rótulo"
BR0047;Filé de tilápia grelhado;Pescados e frutos do mar;;111.0;23.0;0.0;1.7;0.0;100;g;;100;pt-BR;S;Valor médio
BR0048;Sardinha em conserva em óleo;Pescados e frutos do mar;;285.0;15.9;0.0;24.0;0.0;100;g;;84;pt-BR;S;TACO 4ª ed. NEPA/UNICAMP
BR0049;Atum em conserva em água drenado;Pescados e frutos do mar;;116.0;25.5;0.0;0.8;0.0;100;g;;120;pt-BR;S;"Valor médio; conferir rótulo"
BR0050;Salmão grelhado;Pescados e frutos do mar;;206.0;22.0;0.0;12.0;0.0;100;g;;100;pt-BR;S;Valor médio
BR0051;Camarão cozido;Pescados e frutos do mar;;99.0;24.0;0.2;0.3;0.0;100;g;;100;pt-BR;S;Valor médio
BR0052;Ovo de galinha cozido;Ovos e derivados;;146.0;13.3;0.6;9.5;0.0;100;g;50;50;pt-BR;S;TACO/valor médio
BR0053;Ovo de galinha frito;Ovos e derivados;;240.0;15.6;1.2;18.6;0.0;100;g;50;50;pt-BR;S;TACO/valor médio
BR0054;Omelete com queijo;Ovos e derivados;;268.0;15.6;0.4;22.0;0.0;100;g;;100;pt-BR;S;TACO 4ª ed. NEPA/UNICAMP
BR0055;Clara de ovo cozida;Ovos e derivados;;59.0;13.4;0.0;0.1;0.0;100;g;33;66;pt-BR;S;Valor médio
BR0056;Leite integral;Leite e derivados;;61.0;3.2;4.7;3.3;0.0;100;ml;;200;pt-BR;S;Valor médio
BR0057;Leite semidesnatado;Leite e derivados;;46.0;3.2;4.8;1.6;0.0;100;ml;;200;pt-BR;S;Valor médio
BR0058;Leite desnatado;Leite e derivados;;34.0;3.4;5.0;0.1;0.0;100;ml;;200;pt-BR;S;Valor médio
BR0059;Iogurte natural integral;Leite e derivados;;61.0;3.5;4.7;3.3;0.0;100;g;170;170;pt-BR;S;Valor médio
BR0060;Iogurte grego natural;Leite e derivados;;97.0;9.0;3.9;5.0;0.0;100;g;100;100;pt-BR;S;"Valor médio; conferir rótulo"
BR0061;Queijo cottage;Leite e derivados;;98.0;11.1;3.4;4.3;0.0;100;g;;50;pt-BR;S;Valor médio
BR0062;Ricota fresca;Leite e derivados;;140.0;12.6;3.8;8.1;0.0;100;g;;50;pt-BR;S;Valor médio
BR0063;Queijo minas frescal;Leite e derivados;;264.0;17.4;3.2;20.2;0.0;100;g;30;30;pt-BR;S;TACO/valor médio
BR0064;Queijo muçarela;Leite e derivados;;330.0;22.6;3.0;25.2;0.0;100;g;20;40;pt-BR;S;Valor médio
BR0065;Queijo prato;Leite e derivados;;360.0;22.7;1.9;29.0;0.0;100;g;20;40;pt-BR;S;Valor médio
BR0066;Requeijão cremoso;Leite e derivados;;257.0;9.6;2.4;23.4;0.0;100;g;;30;pt-BR;S;TACO/valor médio
BR0067;Manteiga com sal;Óleos e gorduras;;717.0;0.9;0.1;81.1;0.0;100;g;10;10;pt-BR;S;Valor médio
BR0068;Abacate cru;Frutas e derivados;;96.2;1.2;6.0;8.4;6.3;100;g;200;100;pt-BR;S;TACO 4ª ed. NEPA/UNICAMP
BR0069;Abacaxi cru;Frutas e derivados;;48.0;0.9;12.3;0.1;1.0;100;g;900;100;pt-BR;S;TACO/valor médio
BR0070;Banana-prata crua;Frutas e derivados;;98.0;1.3;26.0;0.1;2.0;100;g;80;80;pt-BR;S;TACO/valor médio
BR0071;Banana-nanica crua;Frutas e derivados;;92.0;1.4;23.8;0.1;1.9;100;g;90;90;pt-BR;S;TACO/valor médio
BR0072;Maçã Gala com casca;Frutas e derivados;;56.0;0.3;15.2;0.0;1.3;100;g;130;130;pt-BR;S;TACO/valor médio
BR0073;Mamão Formosa cru;Frutas e derivados;;45.0;0.8;11.6;0.1;1.8;100;g;500;150;pt-BR;S;TACO/valor médio
BR0074;Laranja-pera crua;Frutas e derivados;;37.0;1.0;8.9;0.1;0.8;100;g;130;130;pt-BR;S;TACO/valor médio
BR0075;Mexerica Ponkan crua;Frutas e derivados;;38.0;0.8;9.6;0.1;0.9;100;g;140;140;pt-BR;S;TACO/valor médio
BR0076;Melancia crua;Frutas e derivados;;33.0;0.9;8.1;0.0;0.1;100;g;;200;pt-BR;S;TACO/valor médio
BR0077;Melão cru;Frutas e derivados;;29.0;0.7;7.5;0.0;0.3;100;g;;150;pt-BR;S;TACO/valor médio
BR0078;Manga Palmer crua;Frutas e derivados;;72.0;0.4;19.4;0.2;1.6;100;g;300;150;pt-BR;S;TACO/valor médio
BR0079;Uva Itália crua;Frutas e derivados;;53.0;0.7;13.6;0.2;0.9;100;g;5;100;pt-BR;S;TACO/valor médio
BR0080;Morango cru;Frutas e derivados;;30.1;0.9;6.8;0.3;1.7;100;g;15;100;pt-BR;S;TACO 4ª ed. NEPA/UNICAMP
BR0081;Goiaba vermelha crua;Frutas e derivados;;54.0;1.1;13.0;0.4;6.2;100;g;170;170;pt-BR;S;TACO/valor médio
BR0082;Pera Williams crua;Frutas e derivados;;53.3;0.6;14.0;0.1;3.0;100;g;140;140;pt-BR;S;TACO 4ª ed. NEPA/UNICAMP
BR0083;Pêssego cru;Frutas e derivados;;36.3;0.8;9.3;0.0;1.4;100;g;100;100;pt-BR;S;TACO 4ª ed. NEPA/UNICAMP
BR0084;Maracujá polpa crua;Frutas e derivados;;68.0;2.0;12.3;2.1;1.1;100;g;;100;pt-BR;S;Valor médio
BR0085;Acerola crua;Frutas e derivados;;33.0;0.9;8.0;0.2;1.5;100;g;8;100;pt-BR;S;TACO/valor médio
BR0086;Coco cru;Frutas e derivados;;406.0;3.7;10.4;42.0;5.4;100;g;;50;pt-BR;S;TACO/valor médio
BR0087;Açaí polpa sem açúcar;Frutas e derivados;;58.0;0.8;6.2;3.9;2.6;100;g;;100;pt-BR;S;"Valor médio; conferir fabricante"
BR0088;Alface lisa crua;Verduras e legumes;;13.8;1.7;2.4;0.1;2.3;100;g;;50;pt-BR;S;TACO 4ª ed. NEPA/UNICAMP
BR0089;Tomate para salada cru;Verduras e legumes;;20.5;0.8;5.1;0.0;2.3;100;g;120;120;pt-BR;S;TACO 4ª ed. NEPA/UNICAMP
BR0090;Cenoura crua;Verduras e legumes;;34.0;1.3;7.7;0.2;3.2;100;g;80;80;pt-BR;S;TACO/valor médio
BR0091;Cenoura cozida;Verduras e legumes;;30.0;0.8;6.7;0.2;2.6;100;g;;100;pt-BR;S;Valor médio
BR0092;Beterraba crua;Verduras e legumes;;49.0;1.9;11.1;0.1;3.4;100;g;100;100;pt-BR;S;TACO/valor médio
BR0093;Beterraba cozida;Verduras e legumes;;32.0;1.3;7.2;0.1;1.9;100;g;;100;pt-BR;S;Valor médio
BR0094;Brócolis cozido;Verduras e legumes;;25.0;2.1;4.4;0.5;3.4;100;g;;100;pt-BR;S;TACO/valor médio
BR0095;Couve-flor cozida;Verduras e legumes;;19.0;1.2;3.9;0.3;2.1;100;g;;100;pt-BR;S;Valor médio
BR0096;Repolho branco cru;Verduras e legumes;;17.0;0.9;3.9;0.1;1.9;100;g;;50;pt-BR;S;TACO/valor médio
BR0097;Couve-manteiga crua;Verduras e legumes;;27.0;2.9;4.3;0.5;3.1;100;g;;50;pt-BR;S;TACO/valor médio
BR0098;Pepino cru;Verduras e legumes;;10.0;0.9;2.0;0.1;1.1;100;g;200;100;pt-BR;S;TACO/valor médio
BR0099;Abobrinha italiana cozida;Verduras e legumes;;15.0;1.1;3.0;0.2;1.6;100;g;;100;pt-BR;S;Valor médio
BR0100;Berinjela cozida;Verduras e legumes;;19.0;0.7;4.5;0.1;2.5;100;g;;100;pt-BR;S;Valor médio
BR0101;Chuchu cozido;Verduras e legumes;;19.0;0.4;4.8;0.0;1.0;100;g;;100;pt-BR;S;TACO/valor médio
BR0102;Abóbora cabotiá cozida;Verduras e legumes;;48.0;1.4;10.8;0.7;2.6;100;g;;100;pt-BR;S;TACO/valor médio
BR0103;Abóbora moranga cozida;Verduras e legumes;;12.0;0.6;2.7;0.1;1.7;100;g;;100;pt-BR;S;TACO/valor médio
BR0104;Cebola crua;Verduras e legumes;;39.0;1.7;8.9;0.1;2.2;100;g;100;50;pt-BR;S;TACO/valor médio
BR0105;Alho cru;Verduras e legumes;;113.1;7.0;23.9;0.2;4.3;100;g;3;5;pt-BR;S;TACO 4ª ed. NEPA/UNICAMP
BR0106;Pimentão verde cru;Verduras e legumes;;21.0;1.1;4.9;0.2;2.6;100;g;120;100;pt-BR;S;TACO/valor médio
BR0107;Pimentão vermelho cru;Verduras e legumes;;23.0;1.0;5.5;0.1;1.6;100;g;120;100;pt-BR;S;Valor médio
BR0108;Quiabo cozido;Verduras e legumes;;26.0;1.9;4.9;0.3;2.5;100;g;;100;pt-BR;S;Valor médio
